Day,Date,Last Px,Volume,SMAVG(15),Dvd 12M Yld - Gross,P/E,P/B
Tu,2/27/24,,,,,24.2199,4.6243
Mo,2/26/24,5069.53,623.419M,659.429M,1.4051,24.2199,4.6243
,,,,,,,
Fr,2/23/24,5088.8,633.418M,667.39M,1.3995,24.2918,4.6509
Th,2/22/24,5087.03,728.724M,673.217M,1.3997,24.2731,4.65
We,2/21/24,4981.8,618.518M,696.351M,1.4289,23.7806,4.5457
Tu,2/20/24,4975.51,696.451M,698.318M,1.4308,23.9867,4.6733
Mo,2/19/24,,,,,24.1316,4.7015
,,,,,,,
Fr,2/16/24,5005.57,683.362M,693.871M,1.4219,24.1316,4.7015
Th,2/15/24,5029.73,668.367M,689.913M,1.4148,24.2481,4.7242
We,2/14/24,5000.62,644.907M,695.353M,1.418,24.1077,4.6968
Tu,2/13/24,4953.17,689.444M,697.89M,1.4313,23.879,4.6523
Mo,2/12/24,5021.84,600.435M,691.698M,1.4119,24.21,4.7168
,,,,,,,
Fr,2/9/24,5026.61,633.866M,698.427M,1.4164,24.233,4.7213
Th,2/8/24,4997.91,641.192M,712.209M,1.4242,24.0947,4.6943
We,2/7/24,4995.06,693.459M,715.476M,1.4244,24.0809,4.6916
Tu,2/6/24,4954.23,636.055M,709.292M,1.436,23.8841,4.6533
Mo,2/5/24,4942.81,699.815M,714.16M,1.4417,23.829,4.6425
,,,,,,,
Fr,2/2/24,4958.61,742.829M,706.732M,1.4368,23.9052,4.6574
Th,2/1/24,4906.19,720.838M,699.834M,1.452,23.6525,4.6081
We,1/31/24,4845.65,1.076B,691.399M,1.4695,23.3606,4.5513
Tu,1/30/24,4924.97,648.024M,661.498M,1.4457,23.743,4.6258
Mo,1/29/24,4927.93,629.746M,664.902M,1.4443,23.7573,4.6286
,,,,,,,
Fr,1/26/24,4890.97,623.981M,666.292M,1.4552,23.5791,4.5939
Th,1/25/24,4894.16,749.968M,670.894M,1.4542,23.5945,4.5968
We,1/24/24,4868.55,682.972M,667.298M,1.4617,23.471,4.5728
Tu,1/23/24,4864.6,596.556M,668.901M,1.4628,23.452,4.5691
Mo,1/22/24,4850.43,701.376M,665.873M,1.4663,23.3837,4.5558
,,,,,,,
Fr,1/19/24,4839.81,840.591M,646.64M,1.4695,23.3325,4.5458
Th,1/18/24,4780.94,690.192M,622.412M,1.4872,23.0487,4.4905
We,1/17/24,4739.21,600.707M,601.972M,1.4989,22.8475,4.4513
Tu,1/16/24,4765.98,709.07M,593.794M,1.4902,22.9765,4.4765
Mo,1/15/24,,,,,23.0626,4.4932
,,,,,,,
Fr,1/12/24,4783.83,588.399M,586.455M,1.4845,23.0626,4.4932
Th,1/11/24,4780.24,639.363M,596.625M,1.4855,23.0453,4.4898
We,1/10/24,4783.45,594.304M,599.554M,1.4843,23.0608,4.4929
Tu,1/9/24,4756.5,627.225M,606.931M,1.4924,22.9308,4.4675
Mo,1/8/24,4763.54,699.08M,733.643M,1.4898,22.9648,4.4742
,,,,,,,
Fr,1/5/24,4697.24,650.594M,757.158M,1.5106,22.6451,4.4119
Th,1/4/24,4688.68,693.015M,768.592M,1.5134,22.6039,4.4038
We,1/3/24,4704.81,696.025M,765.13M,1.5075,22.6816,4.419
Tu,1/2/24,4742.83,707.024M,766.124M,1.4953,22.8649,4.4547
Mo,1/1/24,,,,,22.9951,4.4801
,,,,,,,
Fr,12/29/23,4769.83,551.13M,762.33M,1.4866,22.9951,4.4801
Th,12/28/23,4783.35,412.884M,769.233M,1.4825,23.0603,4.4928
We,12/27/23,4781.58,477.164M,784.556M,1.4816,23.0517,4.4911
Tu,12/26/23,4774.75,383.601M,795.151M,1.4661,23.0188,4.4847
Mo,12/25/23,,,,,22.9218,4.4658
,,,,,,,
Fr,12/22/23,4754.63,478.035M,816.867M,1.4743,22.9218,4.4658
Th,12/21/23,4746.75,598.988M,830.707M,1.4768,22.8838,4.4584
We,12/20/23,4698.35,740.948M,886.53M,1.492,22.6505,4.4129
Tu,12/19/23,4768.37,683.293M,878.118M,1.4697,22.9881,4.4787
Mo,12/18/23,4740.56,704.963M,871.34M,1.4776,22.8536,4.4526
,,,,,,,
Fr,12/15/23,4719.19,2.528B,862.462M,1.4899,22.7506,4.4325
Th,12/14/23,4719.55,1.052B,710.274M,1.4917,22.7523,4.4328
We,12/13/23,4707.09,822.11M,673.152M,1.492,22.6923,4.4211
Tu,12/12/23,4643.7,641.079M,654.055M,1.5122,22.3866,4.3617
Mo,12/11/23,4622.44,710.938M,652.404M,1.5185,22.2837,4.3415
,,,,,,,
Fr,12/8/23,4604.37,650.108M,651.591M,1.5244,22.1966,4.3246
Th,12/7/23,4585.59,654.684M,652.481M,1.5295,22.1061,4.3022
We,12/6/23,4549.34,642.729M,655.379M,1.5408,21.8799,4.2675
Tu,12/5/23,4567.18,636.083M,660.979M,1.5344,21.9657,4.2822
Mo,12/4/23,4569.78,709.338M,653.314M,1.5324,21.9781,4.2846
,,,,,,,
Fr,12/1/23,4594.63,685.638M,648.264M,1.5241,22.0975,4.3079
Th,11/30/23,4567.8,1.436B,645.436M,1.5322,21.9684,4.2828
We,11/29/23,4550.58,614.76M,591.689M,1.5353,21.8859,4.2719
Tu,11/28/23,4554.89,581.626M,592.531M,1.5348,21.8919,4.2725
Mo,11/27/23,4550.43,571.787M,593.788M,1.5361,21.8593,4.2685
,,,,,,,
Fr,11/24/23,4559.34,245.075M,603.024M,1.533,21.9022,4.2769
Th,11/23/23,,,,,21.8891,4.2743
We,11/22/23,4556.62,494.988M,637.915M,1.5337,21.8891,4.2743
Tu,11/21/23,4538.19,535.65M,656.714M,1.5395,21.8056,4.2581
Mo,11/20/23,4547.38,616.319M,673.709M,1.536,21.8568,4.2528
,,,,,,,
Fr,11/17/23,4514.02,698.734M,676.445M,1.5468,21.6918,4.2204
Th,11/16/23,4508.24,663.47M,678.636M,1.5435,21.664,4.2151
We,11/15/23,4502.88,698.147M,687.685M,1.5439,21.6418,4.2123
Tu,11/14/23,4495.7,726.734M,689.278M,1.5453,21.6039,4.2318
Mo,11/13/23,4411.55,521.106M,683.264M,1.5749,21.1998,4.1536
,,,,,,,
Fr,11/10/23,4415.24,633.584M,690.02M,1.5715,21.2177,4.1566
Th,11/9/23,4347.35,643.215M,704.259M,1.5954,20.8915,4.0927
We,11/8/23,4382.78,630.147M,708.426M,1.5817,21.0541,4.1255
Tu,11/7/23,4378.38,627.379M,708.422M,1.5816,21.0137,4.0976
Mo,11/6/23,4365.98,600.478M,709.495M,1.5849,20.9451,4.0832
,,,,,,,
Fr,11/3/23,4358.34,710.335M,708.925M,1.5899,20.9136,4.0642
Th,11/2/23,4317.78,768.439M,703.243M,1.6046,20.7372,3.9378
We,11/1/23,4237.86,776.97M,690.762M,1.6341,20.7764,4.0342
Tu,10/31/23,4193.8,790.576M,675.915M,1.6512,20.5604,3.9923
Mo,10/30/23,4166.82,657.367M,661.802M,1.6617,20.4281,3.9666
,,,,,,,
Fr,10/27/23,4117.37,731.597M,653.355M,1.681,20.1857,3.9195
Th,10/26/23,4137.23,799.203M,649.6M,1.6732,20.2831,3.9384
We,10/25/23,4186.77,722.041M,636.692M,1.6532,20.526,3.9856
Tu,10/24/23,4247.68,636.529M,631.872M,1.6294,20.8246,4.0436
Mo,10/23/23,4217.04,622.436M,632.25M,1.6411,20.6744,4.0136
,,,,,,,
Fr,10/20/23,4224.16,847.181M,635.721M,1.6384,20.7093,4.0204
Th,10/19/23,4278,705.716M,628.291M,1.6176,20.9732,4.0716
We,10/18/23,4314.6,630.081M,619.323M,1.6035,21.1526,4.1065
Tu,10/17/23,4373.2,643.477M,619.81M,1.5837,21.4399,4.1622
Mo,10/16/23,4373.63,591.931M,617.066M,1.5835,21.442,4.1626
,,,,,,,
Fr,10/13/23,4327.78,625.107M,612.3M,1.6001,21.2173,4.119
Th,10/12/23,4349.61,581.217M,610.783M,1.5921,21.3243,4.1398
We,10/11/23,4376.95,554.261M,615.065M,1.5816,21.4583,4.1658
Tu,10/10/23,4358.24,578.886M,613.542M,1.5875,21.3666,4.148
Mo,10/9/23,4335.66,530.664M,614.39M,1.5956,21.2559,4.1265
,,,,,,,
Fr,10/6/23,4308.5,675.263M,617.852M,1.6056,21.1227,4.1006
Th,10/5/23,4258.19,605.585M,711.961M,1.6243,20.8761,4.0528
We,10/4/23,4263.75,649.739M,716.044M,1.6209,20.9034,4.0581
Tu,10/3/23,4229.45,642.211M,715.312M,1.6323,20.7352,4.0254
Mo,10/2/23,4288.39,674.495M,710.649M,1.611,21.0242,4.0815
,,,,,,,
Fr,9/29/23,4288.05,735.725M,703.301M,1.6111,21.0225,4.0812
Th,9/28/23,4299.7,571.201M,690.477M,1.6065,21.0796,4.0923
We,9/27/23,4274.51,637.394M,698.52M,1.6198,20.9561,4.0683
Tu,9/26/23,4273.53,602.316M,694.006M,1.6181,20.9513,4.0674
Mo,9/25/23,4337.44,520.439M,693.215M,1.5931,21.2676,4.1282
,,,,,,,
Fr,9/22/23,4320.06,602.354M,695.722M,1.5995,21.1824,4.1116
Th,9/21/23,4330,645.439M,708.971M,1.5955,21.231,4.1211
We,9/20/23,4402.2,531.421M,697.947M,1.5693,21.5851,4.1898
Tu,9/19/23,4443.95,591.606M,698.775M,1.5539,21.7898,4.2295
Mo,9/18/23,4453.53,582.598M,689.284M,1.5506,21.8372,4.2386
,,,,,,,
Fr,9/15/23,4450.32,2.087B,687.851M,1.554,21.8214,4.2355
Th,9/14/23,4505.1,666.839M,590.619M,1.5348,22.0899,4.2829
We,9/13/23,4467.44,638.751M,584.29M,1.5514,21.9054,4.2446
Tu,9/12/23,4461.9,572.264M,574.8M,1.5533,21.8783,4.2393
Mo,9/11/23,4487.46,564.285M,572.682M,1.5437,22.0036,4.2636
,,,,,,,
Fr,9/8/23,4457.49,543.364M,578.558M,1.5541,21.8566,4.2365
Th,9/7/23,4451.14,691.844M,581.404M,1.5558,21.8258,4.2353
We,9/6/23,4465.48,569.685M,570.333M,1.5497,21.8962,4.249
Tu,9/5/23,4496.83,590.442M,567.781M,1.5391,22.05,4.2767
Mo,9/4/23,,,,,22.1428,4.2947
,,,,,,,
Fr,9/1/23,4515.77,558.053M,564.475M,1.5361,22.1428,4.2947
Th,8/31/23,4507.66,801.082M,559.421M,1.5384,22.1032,4.2871
We,8/30/23,4514.87,480.082M,540.914M,1.5343,22.1243,4.2795
Tu,8/29/23,4497.63,543.842M,546.541M,1.5393,22.0086,4.2673
Mo,8/28/23,4433.31,449.237M,548.119M,1.5614,21.6899,4.2065
,,,,,,,
Fr,8/25/23,4405.71,561.106M,554.129M,1.5711,21.5548,4.1803
Th,8/24/23,4376.31,628.411M,559.046M,1.5834,21.4119,4.142
We,8/23/23,4436.01,571.896M,558.846M,1.5619,21.6798,4.1915
Tu,8/22/23,4387.55,496.401M,567.004M,1.5815,21.4529,4.1599
Mo,8/21/23,4399.77,540.501M,572.889M,1.577,21.5102,4.17
,,,,,,,
Fr,8/18/23,4369.71,652.429M,591.752M,1.5876,21.3632,4.1427
Th,8/17/23,4370.36,586.046M,591.406M,1.5871,21.3597,4.1548
We,8/16/23,4404.33,525.774M,599.915M,1.5736,21.5296,4.1976
Tu,8/15/23,4437.86,531.415M,605.832M,1.5612,21.6656,4.2305
Mo,8/14/23,4489.72,540.853M,610.213M,1.5423,21.9217,4.2808
,,,,,,,
Fr,8/11/23,4464.05,482.233M,610.876M,1.5507,21.7969,4.2563
Th,8/10/23,4468.83,523.485M,655.614M,1.5483,21.8201,4.2609
We,8/9/23,4467.71,564.478M,666.681M,1.5479,21.8152,4.252
Tu,8/8/23,4499.38,567.522M,674.451M,1.5376,21.9626,4.2633
Mo,8/7/23,4518.44,539.376M,680.33M,1.5305,22.0468,4.2462
,,,,,,,
Fr,8/4/23,4478.03,634.868M,683.133M,1.544,21.8612,4.247
Th,8/3/23,4501.89,625.407M,680.675M,1.5383,21.9694,4.2273
We,8/2/23,4513.39,694.274M,677.724M,1.5337,21.6912,4.3627
Tu,8/1/23,4576.73,584.666M,674.425M,1.5125,21.9956,4.4239
Mo,7/31/23,4588.96,823.45M,673.501M,1.5066,22.0544,4.4357
,,,,,,,
Fr,7/28/23,4582.23,647.235M,659.788M,1.5141,22.022,4.4292
Th,7/27/23,4537.41,713.688M,659.269M,1.5284,21.8066,4.3859
We,7/26/23,4566.75,614.527M,653.319M,1.5183,21.9476,4.4142
Tu,7/25/23,4567.46,597.126M,652.097M,1.5178,21.951,4.4149
Mo,7/24/23,4554.64,550.798M,634.7M,1.522,21.8894,4.4025
,,,,,,,
Fr,7/21/23,4536.34,1.153B,649.511M,1.5275,21.8015,4.3848
Th,7/20/23,4534.87,689.497M,609.757M,1.528,21.7944,4.3834
We,7/19/23,4565.72,681.026M,603.575M,1.5171,21.9427,4.4132
Tu,7/18/23,4554.98,655.711M,598.876M,1.5205,21.8911,4.4029
Mo,7/17/23,4522.79,581.421M,596.205M,1.5313,21.7363,4.3718
,,,,,,,
Fr,7/14/23,4505.42,597.992M,630.927M,1.5372,21.6529,4.355
Th,7/13/23,4510.04,581.152M,628.403M,1.5353,21.6751,4.3594
We,7/12/23,4472.16,644.785M,636.433M,1.5479,21.493,4.3228
Tu,7/11/23,4439.26,570.808M,641.807M,1.5593,21.3349,4.291
Mo,7/10/23,4409.53,617.757M,740.123M,1.5695,21.192,4.2623
,,,,,,,
Fr,7/7/23,4398.95,639.449M,748.825M,1.5732,21.1412,4.252
Th,7/6/23,4411.59,624.425M,754.69M,1.5683,21.2019,4.2643
We,7/5/23,4446.82,596.207M,756.957M,1.5552,21.3712,4.2983
Tu,7/4/23,,,,,21.4134,4.3068
Mo,7/3/23,4455.59,336.17M,761.308M,1.552,21.4134,4.3068
,,,,,,,
Fr,6/30/23,4450.38,772.965M,777.454M,1.5535,21.388,4.3017
Th,6/29/23,4396.44,556.988M,765.449M,1.5723,21.1288,4.2496
We,6/28/23,4376.86,596.763M,777.807M,1.5784,21.0347,4.2307
Tu,6/27/23,4378.41,610.541M,776.758M,1.5779,21.0421,4.2322
Mo,6/26/23,4328.82,615.648M,775.878M,1.5983,20.8038,4.1842
,,,,,,,
Fr,6/23/23,4348.33,1.102B,781.88M,1.5895,20.8976,4.2031
Th,6/22/23,4381.89,560.134M,756.447M,1.5773,21.0585,4.2308
We,6/21/23,4365.69,701.611M,836.575M,1.5829,20.9806,4.2152
Tu,6/20/23,4388.71,725.393M,835.282M,1.574,21.0913,4.2374
Mo,6/19/23,,,,,21.1919,4.2575
,,,,,,,
Fr,6/16/23,4409.59,2.046B,833.376M,1.5688,21.1919,4.2575
Th,6/15/23,4425.84,748.295M,746.537M,1.563,21.27,4.2733
We,6/14/23,4372.59,727.422M,735.469M,1.5806,21.0145,4.2269
Tu,6/13/23,4369.01,658.429M,728.671M,1.585,20.9973,4.2235
Mo,6/12/23,4338.93,661.477M,722.025M,1.5953,20.8527,4.1944
,,,,,,,
Fr,6/9/23,4298.86,578.353M,723.646M,1.6101,20.6599,4.1556
Th,6/8/23,4293.93,592.89M,728.646M,1.612,20.6363,4.1505
We,6/7/23,4267.52,742.367M,733.507M,1.6209,20.5094,4.125
Tu,6/6/23,4283.85,581.027M,721.444M,1.6147,20.588,4.1388
Mo,6/5/23,4273.79,597.333M,718.895M,1.6189,20.5387,4.1284
,,,,,,,
Fr,6/2/23,4282.37,705.674M,715.879M,1.6193,20.5801,4.1367
Th,6/1/23,4221.02,720.758M,708.208M,1.6422,20.2851,4.0736
We,5/31/23,4179.83,1.762B,702.222M,1.6569,20.0776,4.0278
Tu,5/30/23,4205.52,682.208M,623.444M,1.6483,20.1936,4.0522
Mo,5/29/23,,,,,20.1914,4.0525
,,,,,,,
Fr,5/26/23,4205.45,696.803M,614.074M,1.6483,20.1914,4.0525
Th,5/25/23,4151.28,742.957M,611.729M,1.6693,19.9277,3.9813
We,5/24/23,4115.24,582.283M,610.666M,1.6835,19.7371,3.948
Tu,5/23/23,4145.58,625.447M,617.231M,1.6709,19.8827,3.9689
Mo,5/22/23,4192.63,558.748M,621.161M,1.652,20.1058,4.0132
,,,,,,,
Fr,5/19/23,4191.98,685.778M,624.016M,1.6516,20.1024,4.0138
Th,5/18/23,4198.05,653.367M,630.804M,1.6489,20.1346,4.0297
We,5/17/23,4158.77,665.799M,634.087M,1.6635,19.9506,3.998
Tu,5/16/23,4109.9,561.421M,635.558M,1.6816,19.6998,3.9749
Mo,5/15/23,4136.28,542.789M,641.613M,1.6718,19.8259,4.0012
,,,,,,,
Fr,5/12/23,4124.08,552.094M,641.84M,1.6746,19.7672,3.9894
Th,5/11/23,4130.62,590.609M,649.947M,1.6716,19.7985,3.9957
We,5/10/23,4137.64,630.971M,653.935M,1.6672,19.829,4.0031
Tu,5/9/23,4119.17,580.39M,648.201M,1.6757,19.733,3.9755
Mo,5/8/23,4138.12,541.65M,646.653M,1.6674,19.805,3.9955
,,,,,,,
Fr,5/5/23,4136.25,661.638M,648.55M,1.6681,19.7877,3.9928
Th,5/4/23,4061.22,727.002M,642.163M,1.6986,19.4316,3.8679
We,5/3/23,4090.75,680.765M,635.255M,1.6894,19.5433,4.0409
Tu,5/2/23,4119.58,684.398M,629.235M,1.6775,19.6811,4.0693
Mo,5/1/23,4167.87,601.566M,619.501M,1.658,19.9118,4.117
,,,,,,,
Fr,4/28/23,4169.48,787.608M,614.739M,1.6574,19.9195,4.1186
Th,4/27/23,4135.35,702.603M,600.044M,1.6706,19.7564,4.0849
We,4/26/23,4055.99,687.859M,596.463M,1.7031,19.3773,4.0065
Tu,4/25/23,4071.63,652.256M,592.149M,1.6965,19.452,4.022
Mo,4/24/23,4137.04,546.19M,592.42M,1.6686,19.7645,4.0866
,,,,,,,
Fr,4/21/23,4133.52,673.696M,609.702M,1.67,19.7477,4.0831
Th,4/20/23,4129.79,650.426M,600.518M,1.6714,19.7298,4.0794
We,4/19/23,4154.52,544.964M,598.949M,1.6609,19.848,4.1039
Tu,4/18/23,4154.87,557.171M,596.638M,1.6607,19.8497,4.1042
Mo,4/17/23,4151.32,570.113M,602.184M,1.6621,19.8327,4.1007
,,,,,,,
Fr,4/14/23,4137.64,565.825M,609.956M,1.6676,19.7673,4.0872
Th,4/13/23,4146.22,623.388M,623.026M,1.6642,19.8083,4.0957
We,4/12/23,4091.95,590.458M,627.657M,1.6852,19.5491,4.042
Tu,4/11/23,4108.94,538.398M,642.676M,1.678,19.6302,4.0588
Mo,4/10/23,4109.11,530.133M,660.738M,1.6779,19.631,4.059
,,,,,,,
Fr,4/7/23,,,,,19.6115,4.055
Th,4/6/23,4105.02,567.174M,801.067M,1.6792,19.6115,4.055
We,4/5/23,4090.38,648.895M,825.459M,1.6845,19.5416,4.0405
Tu,4/4/23,4100.6,623.143M,848.851M,1.68,19.5904,4.0506
Mo,4/3/23,4124.51,656.323M,869.646M,1.6698,19.7046,4.0742
,,,,,,,
Fr,3/31/23,4109.31,805.421M,893.223M,1.6759,19.632,4.0592
Th,3/30/23,4050.83,535.941M,895.126M,1.6999,19.3526,4.0014
We,3/29/23,4027.81,626.882M,905.262M,1.7096,19.2426,3.9789
Tu,3/28/23,3971.27,510.305M,899.404M,1.7339,18.9725,3.923
Mo,3/27/23,3977.53,640.358M,906.816M,1.729,19.0022,3.9292
,,,,,,,
Fr,3/24/23,3970.99,686.692M,904.975M,1.7318,18.9708,3.9228
Th,3/23/23,3948.72,761.871M,900.406M,1.7415,18.8644,3.9008
We,3/22/23,3936.97,692.853M,890.307M,1.7463,18.8083,3.8892
Tu,3/21/23,4002.87,815.755M,884.516M,1.7174,19.1231,3.9543
Mo,3/20/23,3951.57,809.318M,895.207M,1.739,18.878,3.9036
,,,,,,,
Fr,3/17/23,3916.64,2.635B,878.121M,1.7555,18.7111,3.8691
Th,3/16/23,3960.28,933.059M,742.69M,1.7361,18.9196,3.9122
We,3/15/23,3891.93,999.772M,721.795M,1.766,18.5931,3.8446
Tu,3/14/23,3919.29,935.068M,696.368M,1.7532,18.7238,3.8716
Mo,3/13/23,3855.76,1.01B,679.485M,1.7821,18.4203,3.8089
,,,,,,,
Fr,3/10/23,3861.59,833.96M,656.995M,1.7793,18.4481,3.8146
Th,3/9/23,3918.32,687.977M,641.728M,1.7525,18.7191,3.8707
We,3/8/23,3992.01,539.008M,633.236M,1.7189,19.0718,3.9435
Tu,3/7/23,3986.37,621.493M,637.067M,1.721,19.0445,3.9381
Mo,3/6/23,4048.42,612.74M,635.716M,1.6942,19.3413,3.9993
,,,,,,,
Fr,3/3/23,4045.64,618.166M,635.882M,1.6952,19.328,3.9966
Th,3/2/23,3981.35,610.374M,640.654M,1.7209,19.0208,3.9293
We,3/1/23,3951.39,605.99M,643.365M,1.7317,18.8715,3.9039
Tu,2/28/23,3970.15,976.127M,648.023M,1.7226,18.9189,3.9214
Mo,2/27/23,3982.24,553.023M,622.283M,1.7166,18.9713,3.9316
,,,,,,,
Fr,2/24/23,3970.04,603.608M,634.449M,1.721,18.93,3.9235
Th,2/23/23,4012.32,619.624M,650.556M,1.7024,19.1391,3.95
We,2/22/23,3991.05,618.374M,661.99M,1.7106,19.0638,3.9135
Tu,2/21/23,3997.34,681.82M,684.057M,1.7075,19.0625,3.9199
Mo,2/20/23,,,,,19.4278,3.9788
,,,,,,,
Fr,2/17/23,4079.09,672.641M,678.061M,1.6732,19.4252,3.9796
Th,2/16/23,4090.41,604.959M,675.038M,1.6704,19.481,3.9988
We,2/15/23,4147.6,560.59M,675.334M,1.647,19.7256,4.0612
Tu,2/14/23,4136.13,596.475M,678.794M,1.6495,19.6693,4.0699
Mo,2/13/23,4137.29,601.224M,671.427M,1.646,19.6568,4.0638
,,,,,,,
Fr,2/10/23,4090.46,615.231M,672.41M,1.6641,19.4514,4.1615
Th,2/9/23,4081.5,689.749M,686.823M,1.659,19.4088,4.1524
We,2/8/23,4117.86,651.034M,684.913M,1.6432,19.5817,4.1894
Tu,2/7/23,4164,675.865M,686.438M,1.6246,19.7859,4.2363
Mo,2/6/23,4111.08,590.027M,686.597M,1.6447,19.5346,4.1825
,,,,,,,
Fr,2/3/23,4136.48,735.516M,685.525M,1.6345,19.6553,4.2083
Th,2/2/23,4179.76,845.21M,678.652M,1.6175,19.8609,4.2523
We,2/1/23,4119.21,791.135M,665.024M,1.6405,19.5732,4.1907
Tu,1/31/23,4076.6,949.382M,649.052M,1.6576,19.3707,4.1474
Mo,1/30/23,4017.77,591.871M,630.322M,1.6818,19.091,4.0875
,,,,,,,
Fr,1/27/23,4070.56,627.302M,635.011M,1.6593,19.3418,4.1412
Th,1/26/23,4060.43,609.401M,635.351M,1.6634,19.2937,4.1309
We,1/25/23,4016.22,612.496M,642.825M,1.6815,19.0836,4.086
Tu,1/24/23,4016.95,485.96M,646.072M,1.6811,19.0871,4.0867
Mo,1/23/23,4019.81,615.965M,647.784M,1.6795,19.1006,4.0896
,,,,,,,
Fr,1/20/23,3972.61,831.431M,637.832M,1.6994,18.8758,4.0416
Th,1/19/23,3898.85,661.097M,611.608M,1.7313,18.5253,3.9666
We,1/18/23,3928.86,673.912M,597.534M,1.7173,18.6679,3.9971
Tu,1/17/23,3990.97,678.251M,579.779M,1.6906,18.963,4.0603
Mo,1/16/23,,,,,19.0015,4.0685
,,,,,,,
Fr,1/13/23,3999.09,573.948M,575.841M,1.6871,19.0015,4.0685
Th,1/12/23,3983.17,632.425M,576.172M,1.6937,18.9259,4.0523
We,1/11/23,3969.61,640.79M,574.365M,1.6982,18.8615,4.0385
Tu,1/10/23,3919.25,551.554M,576.049M,1.7197,18.6222,3.9873
Mo,1/9/23,3892.09,668.428M,704.675M,1.7317,18.4931,3.9597
,,,,,,,
Fr,1/6/23,3895.08,662.21M,713.102M,1.735,18.5073,3.9627
Th,1/5/23,3808.1,632.402M,718.999M,1.7744,18.0941,3.8742
We,1/4/23,3852.97,721.506M,736.838M,1.7542,18.3072,3.9199
Tu,1/3/23,3824.14,661.197M,729.98M,1.7673,18.1703,3.8905
Mo,1/2/23,,,,,18.2432,3.9062
,,,,,,,
Fr,12/30/22,3839.5,511.647M,724.693M,1.7607,18.2432,3.9062
Th,12/29/22,3849.28,466.689M,729.422M,1.7558,18.2897,3.9161
We,12/28/22,3783.22,438.066M,740.323M,1.7848,17.9758,3.8489
Tu,12/27/22,3829.25,449.987M,754.168M,1.7633,18.1948,3.8957
Mo,12/26/22,,,,,18.2688,3.9116
,,,,,,,
Fr,12/23/22,3844.82,407.581M,763.465M,1.7545,18.2688,3.9116
Th,12/22/22,3822.39,619.178M,772.905M,1.7621,18.1622,3.8888
We,12/21/22,3878.44,578.914M,773.9M,1.736,18.4285,3.9458
Tu,12/20/22,3821.62,605.33M,829.055M,1.7613,18.1585,3.888
Mo,12/19/22,3817.66,666.049M,823.197M,1.7629,18.1397,3.884
,,,,,,,
Fr,12/16/22,3852.36,2.481B,818.935M,1.7491,18.3046,3.9193
Th,12/15/22,3895.75,794.832M,669.199M,1.7303,18.5108,3.9634
We,12/14/22,3995.32,750.667M,645.246M,1.6839,18.9838,4.0647
Tu,12/13/22,4019.65,899.986M,631.318M,1.6736,19.0993,4.0895
Mo,12/12/22,3990.56,618.637M,608.297M,1.6855,18.961,4.0599
,,,,,,,
Fr,12/9/22,3934.38,581.895M,610.961M,1.7095,18.6941,4.0027
Th,12/8/22,3963.51,582.572M,609.547M,1.6953,18.8325,4.0324
We,12/7/22,3933.92,630.213M,612.51M,1.708,18.6386,4.0027
Tu,12/6/22,3941.26,645.746M,618.098M,1.7045,18.6735,4.0083
Mo,12/5/22,3998.84,589.437M,619.92M,1.6797,18.946,4.0657
,,,,,,,
Fr,12/2/22,4071.7,549.183M,631.339M,1.6495,19.2912,4.1398
Th,12/1/22,4076.57,634.096M,656.59M,1.6467,19.3142,4.1447
We,11/30/22,4080.11,1.406B,658.806M,1.6438,19.3312,4.1486
Tu,11/29/22,3957.63,517.45M,608.172M,1.6921,18.7358,4.0253
Mo,11/28/22,3963.94,602.118M,617.025M,1.6877,18.759,4.028
,,,,,,,
Fr,11/25/22,4026.12,234.91M,627.655M,1.6616,19.0532,4.0912
Th,11/24/22,,,,,19.0586,4.0924
We,11/23/22,4027.26,435.535M,659.736M,1.661,19.0586,4.0924
Tu,11/22/22,4003.58,541.739M,685.296M,1.6704,18.9466,4.0697
Mo,11/21/22,3949.94,554.67M,692.922M,1.6925,18.6885,3.9935
,,,,,,,
Fr,11/18/22,3965.34,658.595M,712.398M,1.6851,18.7611,4.009
Th,11/17/22,3946.56,560.694M,718.035M,1.6929,18.6725,3.9901
We,11/16/22,3958.79,627.012M,736.113M,1.6865,18.7295,4.0046
Tu,11/15/22,3991.73,714.032M,745.026M,1.6697,18.8698,4.0513
Mo,11/14/22,3957.25,673.078M,744.472M,1.6821,18.6946,4.0111
,,,,,,,
Fr,11/11/22,3992.93,760.722M,744.748M,1.6656,18.864,4.0466
Th,11/10/22,3956.37,927.953M,754.181M,1.681,18.6911,4.0095
We,11/9/22,3748.57,667.334M,737.419M,1.7727,17.7087,3.799
Tu,11/8/22,3828.11,646.744M,734.435M,1.7343,18.0873,3.8911
Mo,11/7/22,3806.8,650.238M,736.563M,1.7437,17.9735,3.8571
,,,,,,,
Fr,11/4/22,3770.55,761.564M,741.123M,1.7603,18.0028,3.8161
Th,11/3/22,3719.89,716.136M,739.451M,1.7835,17.761,3.7648
We,11/2/22,3759.69,818.922M,747.751M,1.763,17.9515,3.8048
Tu,11/1/22,3856.1,656.135M,736.214M,1.7197,18.4118,3.9023
Mo,10/31/22,3871.98,846.806M,740.908M,1.7118,18.4876,3.9184
,,,,,,,
Fr,10/28/22,3901.06,743.161M,724.725M,1.6988,18.6265,3.9478
Th,10/27/22,3807.3,831.855M,725.742M,1.7398,18.1788,3.853
