Day,Date,Last Px,Volume,SMAVG(15),Dvd 12M Yld,P/E,P/B
Tu,2/27/24,72864.26,,,1.1985,23.0827,3.1058
Mo,2/26/24,72790.13,7.869M,11.232M,1.1997,23.0827,3.1058
Su,2/25/24,,,,,23.1945,3.1208
,,,,,,,
Sa,2/24/24,,,,,23.1945,3.1208
Fr,2/23/24,73142.8,11.946M,12.033M,1.1939,23.1945,3.1208
Th,2/22/24,73158.24,9.126M,12.528M,1.1937,23.1994,3.1215
We,2/21/24,72623.09,13.911M,12.685M,1.2025,23.0297,3.0987
Tu,2/20/24,73057.4,7.729M,12.492M,1.1953,23.1675,3.1172
Mo,2/19/24,72708.16,8.406M,12.837M,1.201,23.0567,3.1023
Su,2/18/24,,,,,22.9674,3.0903
,,,,,,,
Sa,2/17/24,,,,,22.9674,3.0903
Fr,2/16/24,72426.64,15.154M,13.205M,1.2057,22.9674,3.0903
Th,2/15/24,72050.38,8.194M,14.639M,1.212,22.8481,3.0742
We,2/14/24,71822.83,10.686M,15.13M,1.2119,22.776,3.0645
Tu,2/13/24,71555.19,8.07M,15.177M,1.2164,22.6911,3.0531
Mo,2/12/24,71072.49,10.688M,16.34M,1.2247,22.538,3.0325
Su,2/11/24,,,,,22.7039,3.0548
,,,,,,,
Sa,2/10/24,,,,,22.7039,3.0548
Fr,2/9/24,71595.49,18.975M,16.495M,1.2158,22.7039,3.0548
Th,2/8/24,71428.43,14.483M,16.172M,1.2173,22.6509,3.0477
We,2/7/24,72152,12.778M,15.951M,1.2024,22.8803,3.0786
Tu,2/6/24,72186.09,10.467M,16.166M,1.2018,22.8905,3.0801
Mo,2/5/24,71731.42,19.882M,16.831M,1.1964,22.7463,3.0607
Su,2/4/24,,,,,22.8541,3.0736
,,,,,,,
Sa,2/3/24,,,,,22.8541,3.0736
Fr,2/2/24,72085.63,19.367M,16.025M,1.215,23.0717,3.1711
Th,2/1/24,71645.3,11.485M,15.359M,1.2225,22.9307,3.1517
We,1/31/24,71752.11,11.011M,15.227M,1.2207,22.9649,3.1564
Tu,1/30/24,71139.9,12.906M,15.22M,1.2312,22.769,3.1295
Mo,1/29/24,71941.57,13.937M,15.351M,1.2175,23.0255,3.1647
Su,1/28/24,,,,,24.6399,2.9499
,,,,,,,
Sa,1/27/24,,,,,24.6399,2.9499
Fr,1/26/24,,,,,24.6399,2.9499
Th,1/25/24,70700.67,36.662M,15.013M,1.2388,24.6399,2.9499
We,1/24/24,71060.31,15.558M,13.472M,1.2323,24.7652,2.9649
Tu,1/23/24,70370.55,11.383M,13.068M,1.2444,24.5248,2.9361
Mo,1/22/24,,,,,24.8918,2.9801
Su,1/21/24,,,,,24.8918,2.9801
,,,,,,,
Sa,1/20/24,71423.65,,,,24.8918,2.9801
Fr,1/19/24,71683.23,25.525M,12.957M,1.2216,24.9823,2.9909
Th,1/18/24,71186.86,13.001M,12.578M,1.2035,24.8093,2.9702
We,1/17/24,71500.76,14.138M,12.228M,1.1983,24.9187,2.9833
Tu,1/16/24,73128.77,11.164M,11.94M,1.1716,25.4861,3.0512
Mo,1/15/24,73327.94,16.007M,11.711M,1.2504,25.5555,3.0595
Su,1/14/24,,,,,25.2908,3.0278
,,,,,,,
Sa,1/13/24,,,,,25.2908,3.0278
Fr,1/12/24,72568.45,20.441M,11.664M,1.2635,25.2908,3.0278
Th,1/11/24,71721.18,7.792M,10.886M,1.2784,24.9955,2.9925
We,1/10/24,71657.71,9.372M,11.245M,1.2795,24.9734,2.9898
Tu,1/9/24,71386.21,9.516M,11.192M,1.2844,24.8788,2.9785
Mo,1/8/24,71355.22,10.901M,11.388M,1.285,24.868,2.9772
Su,1/7/24,,,,,25.1018,3.0052
,,,,,,,
Sa,1/6/24,,,,,25.1018,3.0052
Fr,1/5/24,72026.15,14.864M,12.332M,1.273,25.1018,3.0052
Th,1/4/24,71847.57,8.874M,12.157M,1.2761,25.0396,2.9977
We,1/3/24,71356.6,13.55M,12.036M,1.2849,24.8685,2.9773
Tu,1/2/24,71892.48,9.487M,11.599M,1.2753,25.0552,2.9996
Mo,1/1/24,72271.94,9.727M,11.796M,1.2687,25.1875,3.0154
Su,12/31/23,,,,,25.1764,3.0141
,,,,,,,
Sa,12/30/23,,,,,25.1764,3.0141
Fr,12/29/23,72240.26,19.832M,12.359M,1.2692,25.1764,3.0141
Th,12/28/23,72410.38,7.755M,12.772M,1.2662,25.2357,3.0212
We,12/27/23,72038.43,9.813M,12.946M,1.2728,25.1061,3.0057
Tu,12/26/23,71336.8,7.741M,12.933M,1.2853,24.8616,2.9764
Mo,12/25/23,,,,,24.7815,2.9668
Su,12/24/23,,,,,24.7815,2.9668
,,,,,,,
Sa,12/23/23,,,,,24.7815,2.9668
Fr,12/22/23,71106.96,15.297M,14.475M,1.2894,24.7815,2.9668
Th,12/21/23,70865.1,8.772M,14.9M,1.2938,24.6972,2.9567
We,12/20/23,70506.31,13.176M,15.053M,1.3004,24.5721,2.9418
Tu,12/19/23,71437.19,8.576M,14.731M,1.2835,24.8965,2.9806
Mo,12/18/23,71315.09,12.459M,14.497M,1.2857,24.854,2.9755
Su,12/17/23,,,,,24.9128,2.9826
,,,,,,,
Sa,12/16/23,,,,,24.9128,2.9826
Fr,12/15/23,71483.75,25.054M,14.389M,1.283,24.9128,2.9826
Th,12/14/23,70514.2,12.247M,13.221M,1.3007,24.5749,2.9421
We,12/13/23,69584.6,7.052M,12.69M,1.318,24.2509,2.9033
Tu,12/12/23,69551.03,6.996M,12.58M,1.3187,24.2392,2.9019
Mo,12/11/23,69928.53,12.448M,12.591M,1.3115,24.3708,2.9177
Su,12/10/23,,,,,24.3349,2.9134
,,,,,,,
Sa,12/9/23,,,,,24.3349,2.9134
Fr,12/8/23,69825.6,18.167M,12.487M,1.3135,24.3349,2.9134
Th,12/7/23,69521.69,26.025M,12.047M,1.3192,24.229,2.9007
We,12/6/23,69653.73,10.36M,10.813M,1.3167,24.275,2.9062
Tu,12/5/23,69296.14,9.622M,10.636M,1.3235,24.1504,2.8913
Mo,12/4/23,68865.12,30.869M,10.737M,1.3318,24.0001,2.8733
Su,12/3/23,,,,,23.5178,2.8156
,,,,,,,
Sa,12/2/23,,,,,23.5178,2.8156
Fr,12/1/23,67481.19,21.683M,9.451M,1.3591,23.5178,2.8156
Th,11/30/23,66988.44,11.065M,8.43M,1.3691,23.3461,2.795
We,11/29/23,66901.91,8.334M,8.205M,1.3709,23.316,2.7914
Tu,11/28/23,66174.2,5.079M,8.192M,1.386,23.0623,2.761
Mo,11/27/23,,,,,22.9912,2.7525
Su,11/26/23,,,,,22.9912,2.7525
,,,,,,,
Sa,11/25/23,,,,,22.9912,2.7525
Fr,11/24/23,65970.04,10.839M,8.925M,1.3902,22.9912,2.7525
Th,11/23/23,66017.81,7.524M,8.628M,1.3892,23.0078,2.7545
We,11/22/23,66023.24,4.285M,8.536M,1.3891,23.0097,2.7547
Tu,11/21/23,65930.77,5.409M,9.249M,1.3911,22.9775,2.7509
Mo,11/20/23,65655.15,7.153M,9.262M,1.3969,22.8814,2.7394
Su,11/19/23,,,,,22.9301,2.7452
,,,,,,,
Sa,11/18/23,,,,,22.9301,2.7452
Fr,11/17/23,65794.73,10.893M,9.626M,1.394,22.9301,2.7452
Th,11/16/23,65982.48,11.558M,9.757M,1.3911,22.9955,2.753
We,11/15/23,65675.93,7.527M,9.459M,1.3961,22.8887,2.7402
Tu,11/14/23,,,,,22.6301,2.7093
Mo,11/13/23,64933.87,7.702M,9.411M,1.412,22.6301,2.7093
Su,11/12/23,65259.45,,,,22.7435,2.7229
,,,,,,,
Sa,11/11/23,,,,,22.6199,2.7081
Fr,11/10/23,64904.68,11.139M,9.852M,1.4127,22.6199,2.7081
Th,11/9/23,64832.2,11.572M,9.84M,1.4142,22.5946,2.705
We,11/8/23,64975.61,6.366M,9.541M,1.4263,22.6446,2.711
Tu,11/7/23,64942.4,7.696M,9.645M,1.427,22.633,2.7096
Mo,11/6/23,64958.69,8.132M,9.57M,1.4267,22.6387,2.7103
Su,11/5/23,,,,,22.6721,2.77
,,,,,,,
Sa,11/4/23,,,,,22.6721,2.77
Fr,11/3/23,64363.78,16.082M,9.921M,1.4398,22.6721,2.77
Th,11/2/23,64080.9,6.377M,9.324M,1.4311,22.5588,2.7579
We,11/1/23,63591.33,6.146M,10.016M,1.4305,22.3865,2.7368
Tu,10/31/23,63874.93,14.988M,9.95M,1.4232,22.4863,2.749
Mo,10/30/23,64112.65,5.604M,9.436M,1.4179,22.5127,2.792
Su,10/29/23,,,,,22.3969,2.7776
,,,,,,,
Sa,10/28/23,,,,,22.3969,2.7776
Fr,10/27/23,63782.8,12.606M,9.741M,1.4253,22.3969,2.7776
Th,10/26/23,63148.15,12.869M,9.436M,1.4396,21.9863,2.7652
We,10/25/23,64049.06,7.078M,9.154M,1.4193,22.2999,2.8046
Tu,10/24/23,,,,,22.482,2.8275
Mo,10/23/23,64571.88,6.804M,9.258M,1.4006,22.482,2.8275
Su,10/22/23,,,,,22.7695,2.8637
,,,,,,,
Sa,10/21/23,,,,,22.7695,2.8637
Fr,10/20/23,65397.62,14.323M,9.367M,1.3829,22.7695,2.8637
Th,10/19/23,65629.24,10.961M,8.933M,1.3752,22.8501,2.8738
We,10/18/23,65877.02,7.084M,8.562M,1.3686,22.9364,2.8847
Tu,10/17/23,66428.09,7.93M,8.524M,1.3573,23.1283,2.9088
Mo,10/16/23,66166.93,6.564M,8.448M,1.3626,23.0373,2.8974
Su,10/15/23,,,,,23.0776,2.9024
,,,,,,,
Sa,10/14/23,,,,,23.0776,2.9024
Fr,10/13/23,66282.74,13.395M,8.563M,1.3603,23.0776,2.9024
Th,10/12/23,66408.39,7.127M,8.23M,1.3577,23.1214,2.908
We,10/11/23,66473.05,16.764M,8.646M,1.3564,23.1439,2.9108
Tu,10/10/23,66079.36,5.15M,8.217M,1.3644,23.0068,2.8935
Mo,10/9/23,65512.39,7.275M,8.326M,1.3762,22.8094,2.8687
Su,10/8/23,,,,,22.9777,2.8899
,,,,,,,
Sa,10/7/23,,,,,22.9777,2.8899
Fr,10/6/23,65995.63,10.18M,8.381M,1.3662,22.9777,2.8899
Th,10/5/23,65631.57,8.034M,8.114M,1.3738,22.8509,2.8739
We,10/4/23,65226.04,8.636M,8.162M,1.3823,22.7097,2.8562
Tu,10/3/23,65512.1,8.649M,8.203M,1.3763,22.8093,2.8687
Mo,10/2/23,,,,,22.9195,2.8826
Su,10/1/23,,,,,22.9195,2.8826
,,,,,,,
Sa,9/30/23,,,,,22.9195,2.8826
Fr,9/29/23,65828.41,8.432M,8.39M,1.3696,22.9195,2.8826
Th,9/28/23,65508.32,7.822M,8.241M,1.3763,22.808,2.8685
We,9/27/23,66118.69,5.393M,8.128M,1.3636,23.0205,2.8953
Tu,9/26/23,65945.47,6.503M,8.207M,1.3672,22.9602,2.8877
Mo,9/25/23,66023.69,6.8M,8.69M,1.3656,22.9875,2.8911
Su,9/24/23,,,,,22.9824,2.8905
,,,,,,,
Sa,9/23/23,,,,,22.9824,2.8905
Fr,9/22/23,66009.15,8.29M,9.678M,1.3659,22.9824,2.8905
Th,9/21/23,66230.24,8.397M,12.362M,1.3613,23.0594,2.9001
We,9/20/23,66800.84,13.362M,12.983M,1.3497,23.258,2.9251
Tu,9/19/23,,,,,23.5352,2.96
Mo,9/18/23,67596.84,10.329M,15.328M,1.3338,23.5352,2.96
Su,9/17/23,,,,,23.6194,2.9706
,,,,,,,
Sa,9/16/23,,,,,23.6194,2.9706
Fr,9/15/23,67838.63,6.791M,16.026M,1.3305,23.6194,2.9706
Th,9/14/23,67519,8.095M,19.019M,1.3368,23.5081,2.9566
We,9/13/23,67466.99,6.183M,18.875M,1.3378,23.49,2.9543
Tu,9/12/23,67221.13,8.746M,18.934M,1.3427,23.4044,2.9435
Mo,9/11/23,67127.08,9.251M,18.747M,1.3446,23.3716,2.9394
Su,9/10/23,,,,,23.1877,2.9163
,,,,,,,
Sa,9/9/23,,,,,23.1877,2.9163
Fr,9/8/23,66598.91,11.456M,18.752M,1.3553,23.1877,2.9163
Th,9/7/23,66265.56,6.194M,18.939M,1.3621,23.0717,2.9017
We,9/6/23,65880.52,6.138M,18.951M,1.37,22.9376,2.8848
Tu,9/5/23,65780.26,6.575M,18.931M,1.3721,22.9027,2.8804
Mo,9/4/23,65628.14,13.746M,19.001M,1.3753,22.8497,2.8738
Su,9/3/23,,,,,22.7658,2.8632
,,,,,,,
Sa,9/2/23,,,,,22.7658,2.8632
Fr,9/1/23,65387.16,21.616M,18.591M,1.3804,22.7658,2.8632
Th,8/31/23,64831.41,48.559M,17.553M,1.3771,22.5723,2.8389
We,8/30/23,65087.25,17.711M,14.758M,1.3716,22.6614,2.8501
Tu,8/29/23,65075.82,48.524M,13.995M,1.3719,22.6574,2.8496
Mo,8/28/23,64996.6,20.801M,11.234M,1.3736,22.6299,2.8461
Su,8/27/23,,,,,22.5915,2.8413
,,,,,,,
Sa,8/26/23,,,,,22.5915,2.8413
Fr,8/25/23,64886.51,51.688M,10.679M,1.3759,22.5915,2.8413
Th,8/24/23,65252.34,5.935M,7.852M,1.3682,22.7189,2.8573
We,8/23/23,65433.3,7.073M,7.957M,1.3644,22.7819,2.8653
Tu,8/22/23,65220.03,5.942M,8.186M,1.3689,22.7076,2.8559
Mo,8/21/23,65216.09,9.323M,8.319M,1.3689,22.7063,2.8557
Su,8/20/23,,,,,22.6132,2.844
,,,,,,,
Sa,8/19/23,,,,,22.6132,2.844
Fr,8/18/23,64948.66,14.257M,8.516M,1.3699,22.6132,2.844
Th,8/17/23,65151.02,6.371M,8.124M,1.3657,22.6836,2.8529
We,8/16/23,65539.42,5.848M,8.397M,1.3576,22.8188,2.8699
Tu,8/15/23,,,,,22.771,2.8639
Mo,8/14/23,65401.92,7.619M,8.749M,1.3604,22.771,2.8639
Su,8/13/23,,,,,22.7434,2.8604
,,,,,,,
Sa,8/12/23,,,,,22.7434,2.8604
Fr,8/11/23,65322.65,7.604M,8.816M,1.3621,22.7434,2.8604
Th,8/10/23,65688.18,6.041M,9.193M,1.3512,22.8706,2.8764
We,8/9/23,65995.81,6.633M,9.343M,1.3449,22.9777,2.8899
Tu,8/8/23,65846.5,6.266M,9.466M,1.3201,22.9258,2.8833
Mo,8/7/23,65953.48,7.116M,9.593M,1.3067,22.9627,2.888
Su,8/6/23,,,,,22.8818,2.8779
,,,,,,,
Sa,8/5/23,,,,,22.86,2.8779
Fr,8/4/23,65721.25,12.462M,9.731M,1.3113,22.8578,2.8779
Th,8/3/23,65240.68,9.287M,9.617M,1.3202,22.971,2.934
We,8/2/23,65782.78,7.511M,9.633M,1.304,23.1263,2.9941
Tu,8/1/23,66459.31,10.513M,9.624M,1.2779,23.3642,3.1816
Mo,7/31/23,66527.67,7.93M,9.58M,1.2766,23.3882,3.1849
Su,7/30/23,,,,,24.6292,3.6099
,,,,,,,
Sa,7/29/23,,,,,24.6292,3.6099
Fr,7/28/23,66160.2,12.288M,10.014M,1.2837,24.6292,3.6099
Th,7/27/23,66266.82,8.377M,10.147M,1.2755,24.6689,3.6157
We,7/26/23,66707.2,10.465M,10.162M,1.2671,24.8328,3.6397
Tu,7/25/23,66355.71,11.119M,9.959M,1.2738,24.702,3.6206
Mo,7/24/23,66384.78,8.635M,9.656M,1.2733,24.7128,3.6222
Su,7/23/23,,,,,24.8243,3.6385
,,,,,,,
Sa,7/22/23,,,,,24.8243,3.6385
Fr,7/21/23,66684.26,13.246M,9.666M,1.2675,24.8243,3.6385
Th,7/20/23,67571.9,8.299M,10.765M,1.2492,25.1502,3.6869
We,7/19/23,67097.44,8.479M,10.631M,1.2567,24.9736,3.661
Tu,7/18/23,66795.14,8.171M,10.384M,1.2624,24.8594,3.6445
Mo,7/17/23,66589.93,9.181M,10.133M,1.2663,24.783,3.6333
Su,7/16/23,,,,,24.5592,3.6045
,,,,,,,
Sa,7/15/23,,,,,24.5592,3.6045
Fr,7/14/23,66060.9,10.758M,10.007M,1.2765,24.5592,3.6045
Th,7/13/23,65558.89,9.532M,9.778M,1.2802,24.3721,3.5771
We,7/12/23,65393.9,7.375M,9.849M,1.3203,24.3108,3.5681
Tu,7/11/23,65617.84,9.85M,9.692M,1.3158,24.394,3.5803
Mo,7/10/23,65344.17,14.443M,9.469M,1.3213,24.2923,3.5654
Su,7/9/23,,,,,24.2686,3.5619
,,,,,,,
Sa,7/8/23,,,,,24.2686,3.5619
Fr,7/7/23,65280.45,14.28M,8.873M,1.3226,24.2686,3.5619
Th,7/6/23,65785.64,8.599M,8.367M,1.3124,24.4544,3.5895
We,7/5/23,65446.04,7.422M,8.59M,1.3192,24.3281,3.5709
Tu,7/4/23,65479.05,6.569M,8.465M,1.3186,24.3404,3.5727
Mo,7/3/23,65205.05,8.793M,8.356M,1.3241,24.2388,3.5578
Su,7/2/23,,,,,24.0581,3.5312
,,,,,,,
Sa,7/1/23,,,,,24.1488,3.5312
Fr,6/30/23,64718.56,29.729M,10.53M,1.3341,24.1488,3.5312
Th,6/29/23,,,,,23.8491,3.4874
We,6/28/23,63915.42,6.284M,9.282M,1.3468,23.8491,3.4874
Tu,6/27/23,63416.03,4.773M,9.323M,1.3574,23.6627,3.4602
Mo,6/26/23,62970,4.414M,9.544M,1.3671,23.4963,3.4358
Su,6/25/23,,,,,23.4974,3.4363
,,,,,,,
Sa,6/24/23,,,,,23.4974,3.4363
Fr,6/23/23,62979.37,7.287M,9.654M,1.3668,23.4974,3.4363
Th,6/22/23,63238.89,7.322M,9.59M,1.3612,23.5942,3.4505
We,6/21/23,63523.15,10.604M,9.638M,1.3719,23.7003,3.466
Tu,6/20/23,63327.7,5.008M,9.417M,1.3761,23.6273,3.4553
Mo,6/19/23,63168.3,6.515M,9.603M,1.3796,23.5679,3.4467
Su,6/18/23,,,,,23.6486,3.4585
,,,,,,,
Sa,6/17/23,,,,,23.6486,3.4585
Fr,6/16/23,63384.58,5.494M,9.811M,1.3712,23.6462,3.4585
Th,6/15/23,62917.63,6.697M,10.056M,1.3814,23.472,3.433
We,6/14/23,63228.51,11.939M,10.172M,1.3718,23.588,3.4499
Tu,6/13/23,63143.16,5.542M,9.768M,1.3736,23.5562,3.4453
Mo,6/12/23,62724.71,4.937M,9.96M,1.3828,23.4,3.4224
Su,6/11/23,,,,,23.3631,3.417
,,,,,,,
Sa,6/10/23,,,,,23.3631,3.417
Fr,6/9/23,62625.63,41.405M,10.003M,1.385,23.3631,3.417
Th,6/8/23,62848.64,11.016M,7.648M,1.3764,23.4462,3.4292
We,6/7/23,63142.96,6.888M,7.459M,1.37,23.556,3.4453
Tu,6/6/23,62792.88,8.086M,7.448M,1.3776,23.4254,3.4262
Mo,6/5/23,62787.47,6.062M,7.301M,1.3778,23.4234,3.4259
Su,6/4/23,,,,,23.3338,3.4128
,,,,,,,
Sa,6/3/23,,,,,23.3338,3.4128
Fr,6/2/23,62547.11,6.329M,7.354M,1.3831,23.3309,3.4128
Th,6/1/23,62428.54,8.041M,7.401M,1.373,23.2866,3.4063
We,5/31/23,62622.24,7.29M,7.273M,1.3688,23.3589,3.4169
Tu,5/30/23,62969.13,7.81M,7.104M,1.3392,23.4883,3.4358
Mo,5/29/23,62846.38,9.627M,7.044M,1.3014,23.4368,3.4291
Su,5/28/23,,,,,23.3083,3.4103
,,,,,,,
Sa,5/27/23,,,,,23.3083,3.4103
Fr,5/26/23,62501.69,9.166M,6.927M,1.3085,23.3083,3.4103
Th,5/25/23,61872.62,8.437M,6.688M,1.3218,23.2381,3.376
We,5/24/23,61773.78,5.889M,6.665M,1.324,23.201,3.3706
Tu,5/23/23,61981.79,8.423M,6.676M,1.3195,23.1751,3.3819
Mo,5/22/23,61963.68,5.574M,6.563M,1.3199,23.1683,3.3809
Su,5/21/23,,,,,23.0808,3.3682
,,,,,,,
Sa,5/20/23,,,,,23.0808,3.3682
Fr,5/19/23,61729.68,6.079M,6.669M,1.3249,23.0808,3.3682
Th,5/18/23,61431.74,8.181M,6.631M,1.3313,22.9826,3.3519
We,5/17/23,61560.64,6.727M,6.387M,1.3285,23.1406,3.3772
Tu,5/16/23,61932.47,5.88M,6.375M,1.3206,23.2819,3.3976
Mo,5/15/23,62345.71,6.857M,6.426M,1.254,23.4299,3.4186
Su,5/14/23,,,,,23.3104,3.4012
,,,,,,,
Sa,5/13/23,,,,,23.3104,3.4012
Fr,5/12/23,62027.9,7.037M,6.352M,1.2605,23.3104,3.4012
Th,5/11/23,61904.52,6.114M,6.322M,1.263,23.3303,3.3944
We,5/10/23,61940.2,4.757M,6.431M,1.2622,23.3437,3.3964
Tu,5/9/23,61761.33,6.916M,6.603M,1.2659,23.286,3.3866
Mo,5/8/23,61764.25,7.867M,7.155M,1.2658,23.2837,3.3867
Su,5/7/23,,,,,23.016,3.3478
,,,,,,,
Sa,5/6/23,,,,,23.016,3.3478
Fr,5/5/23,61054.29,5.585M,7.071M,1.2806,23.016,3.3478
Th,5/4/23,61749.25,8.083M,7.091M,1.2661,23.2759,3.3859
We,5/3/23,61193.3,6.062M,7.009M,1.2776,23.499,2.8708
Tu,5/2/23,61354.71,6.72M,7.338M,1.2743,23.5581,2.8783
Mo,5/1/23,,,,,23.376,2.867
Su,4/30/23,,,,,23.3762,2.867
,,,,,,,
Sa,4/29/23,,,,,23.3762,2.867
Fr,4/28/23,61112.44,7.169M,7.204M,1.2793,23.3762,2.867
Th,4/27/23,60649.38,5.517M,7.061M,1.2891,23.1969,2.8452
We,4/26/23,60300.58,4.52M,6.978M,1.2966,22.7163,2.8289
Tu,4/25/23,60130.71,6.544M,7.11M,1.3002,22.6381,2.8209
Mo,4/24/23,60056.1,6.65M,7.065M,1.3018,22.6044,2.8174
Su,4/23/23,,,,,22.4535,2.7986
,,,,,,,
Sa,4/22/23,,,,,22.4534,2.7986
Fr,4/21/23,59655.06,5.739M,6.924M,1.3106,22.4534,2.7986
Th,4/20/23,59632.35,6.585M,6.938M,1.3183,22.3847,2.7975
We,4/19/23,59567.8,7.752M,6.928M,1.3198,22.3495,2.7945
Tu,4/18/23,59727.01,7.331M,6.75M,1.3163,22.408,2.802
Mo,4/17/23,59910.75,15.197M,6.573M,1.3122,22.479,2.8106
Su,4/16/23,,,,,22.674,2.835
,,,,,,,
Sa,4/15/23,,,,,22.674,2.835
Fr,4/14/23,,,,,22.674,2.835
Th,4/13/23,60431,6.608M,5.929M,1.3009,22.663,2.835
We,4/12/23,60392.77,5.882M,5.922M,1.3017,22.6469,2.8332
Tu,4/11/23,60157.72,6.865M,5.95M,1.3068,22.5927,2.8222
Mo,4/10/23,59846.51,10.987M,6.016M,1.3136,22.471,2.8076
Su,4/9/23,,,,,22.4585,2.8069
,,,,,,,
Sa,4/8/23,,,,,22.4556,2.8069
Fr,4/7/23,,,,,22.4556,2.8069
Th,4/6/23,59832.97,4.721M,5.793M,1.3139,22.4556,2.8069
We,4/5/23,59689.31,5.016M,6.16M,1.3171,22.4014,2.8002
Tu,4/4/23,,,,,22.1839,2.7729
Mo,4/3/23,59106.44,4.275M,6.359M,1.3411,22.1838,2.7729
Su,4/2/23,,,,,22.1404,2.7675
,,,,,,,
Sa,4/1/23,,,,,22.1404,2.7675
Fr,3/31/23,58991.52,6.499M,6.495M,1.3437,22.1404,2.7675
Th,3/30/23,,,,,21.7546,2.7191
We,3/29/23,57960.09,5.873M,6.573M,1.3676,21.7546,2.7191
Tu,3/28/23,57613.72,4.527M,6.614M,1.3758,21.6246,2.7028
Mo,3/27/23,57653.86,5.953M,6.707M,1.3749,21.6386,2.7047
Su,3/26/23,,,,,21.5891,2.6988
,,,,,,,
Sa,3/25/23,,,,,21.5891,2.6988
Fr,3/24/23,57527.1,6.433M,6.925M,1.3779,21.5891,2.6988
Th,3/23/23,57925.28,5.082M,6.84M,1.3684,21.7431,2.7174
We,3/22/23,58214.59,4.682M,6.893M,1.3616,21.8519,2.731
Tu,3/21/23,58074.68,5.528M,7.039M,1.3649,21.7995,2.7244
Mo,3/20/23,57628.95,6.512M,7.17M,1.3755,21.6322,2.7035
Su,3/19/23,,,,,21.7693,2.7205
,,,,,,,
Sa,3/18/23,,,,,21.7693,2.7205
Fr,3/17/23,57989.9,6.301M,7.086M,1.368,21.7693,2.7205
Th,3/16/23,57634.84,7.856M,7.14M,1.3764,21.6359,2.7038
We,3/15/23,57555.9,7.632M,7.154M,1.3783,21.6057,2.7001
Tu,3/14/23,57900.19,10.231M,6.988M,1.3701,21.7223,2.7163
Mo,3/13/23,58237.85,8.007M,6.714M,1.3622,21.8489,2.7321
Su,3/12/23,,,,,22.1856,2.7742
,,,,,,,
Sa,3/11/23,,,,,22.1856,2.7742
Fr,3/10/23,59135.13,6.31M,6.72M,1.3415,22.1856,2.7742
Th,3/9/23,59806.28,7.675M,6.757M,1.3265,22.4374,2.8057
We,3/8/23,60348.09,6.484M,6.628M,1.3145,22.6411,2.8311
Tu,3/7/23,,,,,22.5947,2.8253
Mo,3/6/23,60224.46,5.919M,6.666M,1.3172,22.5947,2.8253
Su,3/5/23,,,,,22.4366,2.8058
,,,,,,,
Sa,3/4/23,,,,,22.4364,2.8058
Fr,3/3/23,59808.97,9.216M,6.66M,1.3264,22.4363,2.8058
Th,3/2/23,58909.35,5.159M,6.402M,1.3466,22.1004,2.7636
We,3/1/23,59411.08,5.882M,6.624M,1.3353,22.2884,2.7871
Tu,2/28/23,58962.12,6.876M,7.116M,1.3454,22.1224,2.7661
Mo,2/27/23,59288.35,7.484M,7.564M,1.338,22.2477,2.7814
Su,2/26/23,,,,,22.3102,2.7896
,,,,,,,
Sa,2/25/23,,,,,22.3102,2.7896
Fr,2/24/23,59463.93,5.259M,7.563M,1.3341,22.3129,2.7896
Th,2/23/23,59605.8,7.115M,7.816M,1.3309,22.3581,2.7963
We,2/22/23,59744.98,8.065M,8.036M,1.3278,22.4103,2.8028
Tu,2/21/23,60672.72,5.141M,9.182M,1.3075,22.7577,2.8463
Mo,2/20/23,60691.54,6.123M,9.436M,1.3071,22.77,2.8472
Su,2/19/23,,,,,22.8849,2.8618
,,,,,,,
Sa,2/18/23,,,,,22.8908,2.8618
Fr,2/17/23,61002.57,8.091M,9.795M,1.3004,22.8908,2.8618
Th,2/16/23,61319.51,6.862M,10.117M,1.2937,23.0064,2.8767
We,2/15/23,61275.09,5.745M,10.198M,1.2947,22.9951,2.8746
Tu,2/14/23,61032.26,7.05M,10.447M,1.2903,22.904,2.8632
Mo,2/13/23,60431.84,5.831M,10.42M,1.3031,22.693,2.8351
Su,2/12/23,,,,,22.7872,2.8468
,,,,,,,
Sa,2/11/23,,,,,22.8034,2.8468
Fr,2/10/23,60682.7,5.345M,10.453M,1.2977,22.8034,2.8468
Th,2/9/23,60806.22,8.487M,10.666M,1.2951,22.8492,2.8526
We,2/8/23,60663.79,13.261M,10.561M,1.2981,22.7946,2.8459
Tu,2/7/23,60286.04,13.596M,10.117M,1.308,22.5944,2.8282
Mo,2/6/23,60506.9,7.47M,9.643M,1.3032,22.5242,2.8357
Su,2/5/23,,,,,22.649,2.8514
,,,,,,,
Sa,2/4/23,,,,,22.6558,2.8514
Fr,2/3/23,60841.88,9.061M,9.627M,1.296,22.6586,2.8514
Th,2/2/23,59932.24,10.41M,9.43M,1.314,22.3914,2.8848
We,2/1/23,59708.08,25.252M,9.382M,1.3189,22.2911,2.8741
Tu,1/31/23,59549.9,8.958M,8.267M,1.3224,22.2347,2.8664
Mo,1/30/23,59500.41,11.505M,8.205M,1.3235,23.9334,2.9435
Su,1/29/23,,,,,23.8652,2.9352
,,,,,,,
Sa,1/28/23,,,,,23.8652,2.9352
Fr,1/27/23,59330.9,12.927M,8.013M,1.3273,23.8652,2.9352
Th,1/26/23,,,,,24.2169,2.9784
